Natural Frequency (Hz),Magnitude (dB)
14.49538858219563,37.27819679488564
14.49920137698653,33.444365979454744
14.49538858219563,35.79760011782744
186.22524875210738,56.97746930953109
186.2432627579115,22.715151531060606
186.22524875210738,55.92775034094328
172.09348451290867,30.759660229033226
172.09414270189848,34.923890979147004
172.09348451290867,32.427485202945675
230.85187266536644,63.72686512930051
230.84945773862057,42.635497984678906
230.85187266536644,60.71743439821822
231.7278767644045,58.59825514766867
231.72466104105436,50.9790924621914
231.7278767644045,57.14900540064076
477.8354434564147,53.35387769860377
477.8318296854374,9.518237570727443
477.8354434564147,52.83484256797826
577.9643648143864,53.71446050564544
577.9550874838635,21.720108515113537
577.9643648143864,52.91059213709338
441.9027470166276,61.74580579669894
441.89014739882293,43.52514420534726
441.9027470166276,58.53853191159775
