Natural Frequency (Hz),Magnitude (dB)
186.22524875210738,47.54342086609249
186.2432627579115,14.611657091958726
186.22524875210738,46.60763381040516
230.85187266536644,49.48524999932285
230.84945773862057,28.8853685792068
230.85187266536644,46.372068239515826
231.71134838517736,44.7018255942341
231.6954875976399,36.81105212011388
231.71134838517736,43.00264411236596
441.8862186374005,44.913052723806686
441.89014739882293,24.768233853316246
441.8862186374005,41.70513203865401
477.85197183564185,36.55010107130413
477.86100312885185,13.30265128678452
477.85197183564185,36.204609965991985
577.9643648143864,38.39153476086471
577.9550874838635,6.839057720137536
577.9643648143864,37.62546206995307
