Frequency (Hz),Magnitude (dB)
2.0164622657102247,20.094674028337383
2.0329906449373576,20.39851212880778
2.0495190241644905,20.521827276213777
2.0660474033916234,20.484737907509025
2.0825757826187568,20.313956014622562
2.0991041618458897,20.040012432398285
2.1156325410730226,19.69404558509127
2.1321609203001555,19.303988055772923
2.1486892995272884,18.89088134915521
2.1652176787544217,18.46684933244783
2.1817460579815546,18.03621700574919
2.1982744372086875,17.60011366772244
2.2148028164358204,17.16331110787329
2.2313311956629533,16.740759224486446
2.2478595748900867,16.360200562690103
2.2643879541172196,16.056506427487985
2.2809163333443525,15.855581506002927
2.2974447125714854,15.753821642270543
2.3139730917986183,15.707221428885614
2.3305014710257512,15.638684754255962
2.3470298502528846,15.455791515936195
2.3635582294800175,15.064823878414785
2.3800866087071504,14.374938540714602
2.3966149879342833,13.296736110466874
2.413143367161416,11.752008726311963
2.4296717463885495,9.761972513476072
2.4462001256156825,7.855497539804696
2.4627285048428154,7.586073278212292
2.4792568840699483,9.332679063625749
2.495785263297081,11.501006948368072
2.512313642524214,13.292633904668445
2.5288420217513474,14.606743159524898
2.5453704009784803,15.494399907811292
2.5618987802056132,16.013507528309393
2.578427159432746,16.204354746622695
2.594955538659879,16.088448680899372
2.6114839178870124,15.670861306986119
2.6280122971141453,14.943153837825346
2.644540676341278,13.89019212789228
2.661069055568411,12.517659157728787
2.677597434795544,10.961818961145628
2.6941258140226774,9.796349947785039
2.7106541932498103,10.073438781503485
2.727182572476943,11.857964941573176
2.743710951704076,14.094055658600803
2.760239330931209,16.14273388862285
2.7767677101583423,17.84033284269269
2.7932960893854752,19.176944270164885
2.809824468612608,20.17411138473189
2.826352847839741,20.85460210728825
2.842881227066874,21.236864787882396
2.859409606294007,21.33521047295507
2.87593798552114,21.16118490680446
2.892466364748273,20.725244371333382
2.908994743975406,20.038727321255596
2.925523123202539,19.11626014679278
2.942051502429672,17.97860446318968
2.958579881656805,16.655565124207094
2.975108260883938,15.187863336399499
2.991636640111071,13.62593461626727
3.008165019338204,12.022962903556715
3.024693398565337,10.420033892619383
3.0412217777924697,8.82409316640551
3.057750157019603,7.186016388963967
3.074278536246736,5.401826419758327
3.090806915473869,3.4190166207998547
3.107335294701002,1.7604348143978974
3.1238636739281347,2.204016311807577
3.140392053155268,4.889928094636501
3.156920432382401,7.889486535397419
3.173448811609534,10.451956071214028
3.1899771908366668,12.531020173362663
3.2065055700637997,14.20262910827648
3.223033949290933,15.540479226731383
3.239562328518066,16.599124464840678
3.256090707745199,17.416099622165106
3.2726190869723317,18.018167319506084
3.2891474661994646,18.429482404242016
3.305675845426598,18.680827762754305
3.322204224653731,18.81797493084894
3.338732603880864,18.904564380023206
3.3552609831079967,19.01222704339122
3.3717893623351296,19.194877921007148
3.3883177415622625,19.46067954221426
3.404846120789396,19.76658546303149
3.4213745000165288,20.041386728495112
3.4379028792436617,20.215869919626435
3.4544312584707946,20.240468083056605
3.4709596376979275,20.088959158483085
3.487488016925061,19.755292285862676
3.5040163961521937,19.24886207675185
3.5205447753793266,18.589926834812807
3.5370731546064595,17.804806490688343
3.5536015338335925,16.91996278986257
3.5701299130607254,15.95454473378695
3.5866582922878587,14.912028529963584
3.6031866715149916,13.772443877371243
3.6197150507421245,12.486397890454805
3.6362434299692574,10.970351933613841
3.6527718091963903,9.100572299987128
3.6693001884235237,6.706482947940716
3.6858285676506566,3.6141964275536624
3.7023569468777895,0.2155448407649617
3.7188853261049224,-0.5254258094560711
3.7354137053320553,2.032281727292879
3.7519420845591887,4.627063876349766
3.7684704637863216,6.620270460073635
3.7849988430134545,8.238436429352513
3.8015272222405874,9.71727209317482
3.8180556014677203,11.170299626503947
3.8345839806948536,12.582838348797301
3.8511123599219865,13.871420258958302
3.8676407391491194,14.94779016941382
3.8841691183762523,15.746275099367654
3.9006974976033852,16.222416973297182
3.917225876830518,16.342083509963132
3.9337542560576515,16.070096599730668
3.9502826352847844,15.359147400243137
3.9668110145119173,14.135872512111888
3.98333939373905,12.277542813558018
3.999867772966183,9.567005793116639
4.016396152193316,5.630332237202246
4.032924531420449,0.5423726250211087
4.049452910647582,0.08907647386461236
4.065981289874715,3.5293147044599067
4.0825096691018485,5.600278286489284
4.099038048328981,6.310981835999274
4.115566427556114,5.925864655945897
4.132094806783247,4.5586518100083415
4.14862318601038,2.4570830724369803
4.1651515652375135,1.0252001552367895
4.181679944464646,2.3227282815505355
4.198208323691779,4.777022694590915
4.214736702918912,6.776590583114592
4.231265082146045,8.12098290986833
4.2477934613731785,8.9379532652306
4.264321840600311,9.390416953006326
4.280850219827444,9.63980017419325
4.297378599054577,9.828398355400017
4.31390697828171,10.043740111919824
4.3304353575088435,10.290182573257221
4.346963736735976,10.5020910534139
4.363492115963109,10.587247024410429
4.380020495190242,10.461926304706298
4.396548874417375,10.063620388515861
4.413077253644508,9.354341731838357
4.429605632871641,8.337971324433774
4.446134012098774,7.131017058784709
4.462662391325907,6.128713853890815
4.47919077055304,6.031213001569665
4.495719149780173,7.103327892921564
4.512247529007306,8.76046504071446
4.528775908234439,10.415137378679177
4.545304287461572,11.829452472116603
4.561832666688705,12.949840923954795
4.5783610459158375,13.77931802110615
4.594889425142971,14.330140782600818
4.611417804370104,14.608783392827288
4.627946183597237,14.610635206474177
4.64447456282437,14.317020643653365
4.6610029420515025,13.693277909371584
4.677531321278636,12.692882553137784
4.694059700505769,11.294518777371623
4.710588079732902,9.685870333120462
4.727116458960035,8.789886679270882
4.743644838187167,9.897900546115139
4.760173217414301,12.320406983439778
4.776701596641434,14.755174013115484
4.793229975868567,16.780927959898907
4.8097583550957,18.365864301066406
4.826286734322832,19.554488372381527
4.842815113549966,20.394177819273914
4.859343492777099,20.923755795641444
4.8758718720042316,21.174286473760354
4.892400251231365,21.171458061224165
4.908928630458497,20.93745349878123
4.925457009685631,20.491911276244345
4.941985388912764,19.851805927302294
4.9585137681398965,19.030026963792757
4.97504214736703,18.03243258789117
4.991570526594162,16.85329889653373
