Natural Frequency (Hz),Magnitude (dB)
14.511916961422765,34.758278468859594
14.49920137698653,30.84352641918105
14.511916961422765,33.449847268080646
186.22524875210738,48.42159289793088
186.2432627579115,12.805909361266448
186.22524875210738,47.52837873111605
172.09348451290867,29.729222352268945
172.09414270189848,33.4821907177161
172.09348451290867,29.1087629392537
230.85187266536644,51.82856781377575
230.84945773862057,30.550661568862168
230.85187266536644,48.787024683568404
231.71134838517736,43.501927505589464
231.6954875976399,36.29062785292255
231.71134838517736,42.44500501388888
441.9027470166276,38.635344511527
441.89014739882293,19.154097990175288
441.9027470166276,35.273657226750494
477.85197183564185,31.638218927416816
477.86100312885185,20.2545712413847
477.85197183564185,34.49794710136946
