Natural Frequency (Hz),Magnitude (dB)
231.71134838517736,54.83536454304517
231.6954875976399,47.148745640417154
231.70726667906362,53.28853587424629
230.85187266536644,51.71586209121526
230.84945773862057,31.147038814033948
230.84774478811548,48.78395095822885
441.9027470166276,50.70455724268315
441.91932084223737,39.04213784210558
441.90995681728964,47.65194294370471
477.8354434564147,44.112758010356465
477.8318296854374,12.166007225982238
477.8445835657762,43.20107270001444
577.9643648143864,45.502128235297036
577.9550874838635,13.23144728253886
577.9623545941032,44.923008718809996
